"","ID","i","index","Group"
"329","KO5",1900,63.8215119157061,"KO"
"330","KO6",1900,111.090595765633,"KO"
"331","OE1",1900,184.240073491885,"OE"
"332","OE2",1900,115.364949507861,"OE"
"333","OE3",1900,92.2188729372094,"OE"
"334","OE4",1900,117.352577855796,"OE"
"335","OE5",1900,125.390760680792,"OE"
"336","OE6",1900,162.685894547093,"OE"
"337","WT1",1900,98.6231013004043,"WT"
"338","WT2",1900,65.334636406414,"WT"
"339","WT3",1900,127.805707002761,"WT"
"340","WT4",1900,104.601298099212,"WT"
"341","WT5",1900,85.9441957908771,"WT"
"342","WT6",1900,99.5532513374883,"WT"
"343","KO1",2000,98.3622682339055,"KO"
"344","KO2",2000,108.055540547842,"KO"
"345","KO3",2000,82.5184635062095,"KO"
"346","KO4",2000,86.2663906142167,"KO"
"347","KO5",2000,60.5711862866834,"KO"
"348","KO6",2000,127.518490181076,"KO"
"349","OE1",2000,190.712310479641,"OE"
"350","OE2",2000,107.020547945205,"OE"
"351","OE3",2000,87.2866931436303,"OE"
"352","OE4",2000,127.331762908257,"OE"
"353","OE5",2000,144.268917261776,"OE"
"354","OE6",2000,194.95077492933,"OE"
"355","WT1",2000,87.3057447180024,"WT"
"356","WT2",2000,66.2229727492467,"WT"
"357","WT3",2000,128.584287000129,"WT"
"358","WT4",2000,87.4125874125874,"WT"
"359","WT5",2000,90.3546419697312,"WT"
"360","WT6",2000,117.95234725171,"WT"
"361","KO1",2100,91.2212477246401,"KO"
"362","KO2",2100,118.656836893935,"KO"
"363","KO3",2100,78.8880540946657,"KO"
"364","KO4",2100,91.4292822490359,"KO"
"365","KO5",2100,66.0773149535511,"KO"
"366","KO6",2100,107.033639143731,"KO"
"367","OE1",2100,194.805194805195,"OE"
"368","OE2",2100,110.988070669955,"OE"
"369","OE3",2100,78.1998084902649,"OE"
"370","OE4",2100,130.280649926145,"OE"
"371","OE5",2100,141.255605381166,"OE"
"372","OE6",2100,185.496761167662,"OE"
"373","WT1",2100,82.500841845325,"WT"
"374","WT2",2100,63.7707146368974,"WT"
"375","WT3",2100,127.678054429647,"WT"
"376","WT4",2100,96.7954345917471,"WT"
"377","WT5",2100,86.0958182031159,"WT"
"378","WT6",2100,117.794753993269,"WT"
"379","KO1",2200,93.907644547924,"KO"
"380","KO2",2200,107.799902000089,"KO"
"381","KO3",2200,84.0657241115781,"KO"
"382","KO4",2200,83.8588952803382,"KO"
"383","KO5",2200,59.4185818110391,"KO"
"384","KO6",2200,102.664177838113,"KO"
"385","OE1",2200,177.993527508091,"OE"
"386","OE2",2200,82.4559610208184,"OE"
"387","OE3",2200,95.6748636040167,"OE"
"388","OE4",2200,112.135674899217,"OE"
"389","OE5",2200,149.382716049383,"OE"
"390","OE6",2200,184.0724119571,"OE"
"391","WT1",2200,90.3693192426902,"WT"
"392","WT2",2200,61.6922017997808,"WT"
"393","WT3",2200,129.218282785135,"WT"
"394","WT4",2200,104.975491259272,"WT"
