#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_1239	23	23	16	21	27	26	32	18	20	15	31	36	26	15	20	10	18	10
OTU_124	51	30	126	29	15	26	47	16	26	32	55	32	42	46	60	55	33	66
OTU_1240	1	1	2	0	4	2	6	7	2	9	3	1	2	4	1	3	2	1
OTU_1241	3	6	0	0	10	16	2	0	1	0	1	4	0	2	0	0	0	0
OTU_1242	5	0	0	2	3	4	0	5	3	2	6	8	0	0	2	7	0	1
OTU_1243	2	6	2	3	4	7	2	5	2	3	5	3	0	3	0	1	9	2
OTU_1244	1	4	4	1	3	1	5	3	4	2	5	10	4	3	5	1	1	2
OTU_1245	2	1	2	9	12	4	4	7	0	1	3	0	5	0	3	2	0	5
OTU_1247	4	3	6	5	3	6	3	5	7	4	3	2	2	6	11	6	2	7
OTU_1248	2	3	0	3	0	11	1	4	1	1	3	5	4	1	7	3	8	3
OTU_1249	2	0	3	11	2	3	2	3	0	0	0	3	1	2	2	6	2	1
OTU_125	12	117	56	87	13	26	45	76	32	47	73	18	27	86	59	26	7	68
OTU_1250	26	28	15	28	19	31	19	14	25	21	26	24	12	12	31	19	27	16
OTU_1251	3	1	0	1	3	4	5	9	14	6	2	4	2	0	8	2	3	2
OTU_1252	2	3	2	4	1	4	4	9	4	2	5	3	9	2	8	11	1	5
OTU_1253	3	3	0	3	3	3	7	1	3	1	4	1	1	2	4	1	6	5
OTU_1254	3	2	2	12	0	3	5	1	0	0	1	1	1	0	1	12	3	2
OTU_1255	4	3	1	1	0	3	0	1	3	4	1	3	8	2	2	3	2	1
OTU_1256	4	6	1	2	3	3	2	3	2	2	4	9	2	1	5	2	2	4
OTU_1257	3	3	0	6	1	6	1	0	3	6	1	3	2	1	4	5	2	4
OTU_1258	6	1	0	2	3	4	3	1	2	2	2	7	3	2	7	6	1	4
OTU_126	48	47	49	42	29	41	41	77	50	42	35	59	45	20	72	47	54	82
OTU_1260	1	5	4	2	3	1	1	6	1	2	2	3	7	2	1	3	7	3
OTU_1261	3	6	5	1	0	8	1	5	3	6	2	6	2	2	0	0	1	1
OTU_1262	1	0	2	4	5	2	3	0	6	7	3	5	13	1	6	11	4	2
OTU_1263	3	0	4	0	2	2	3	5	7	4	8	19	7	1	12	3	3	5
OTU_1264	1	2	0	0	2	2	9	6	6	0	2	7	3	2	7	2	1	1
OTU_1265	7	1	2	2	2	1	4	4	2	3	9	5	3	3	3	3	3	0
OTU_1266	1	1	0	3	0	3	14	4	3	1	4	2	2	1	1	1	4	0
OTU_1267	3	2	0	0	1	1	8	3	4	3	2	4	12	5	3	4	3	0
OTU_1268	2	2	0	0	0	0	24	3	3	1	3	3	8	0	0	3	4	4
OTU_1269	3	6	9	8	2	7	15	8	6	7	6	13	6	3	5	4	10	8
OTU_127	38	65	36	60	49	52	32	27	24	42	45	29	38	55	43	70	54	39
OTU_1270	2	5	4	3	2	4	3	2	5	3	1	1	4	3	4	2	4	2
OTU_1271	6	8	0	9	6	5	3	4	3	3	3	6	1	3	2	2	2	3
OTU_1272	2	3	5	0	1	5	4	3	7	7	3	5	2	3	5	3	5	5
OTU_1273	4	1	1	2	1	1	8	2	9	1	1	2	7	2	4	6	1	2
OTU_1274	1	5	1	0	0	2	0	7	4	1	2	9	5	1	5	3	2	2
OTU_1275	30	12	20	17	15	11	8	17	10	7	12	9	7	12	5	20	14	7
OTU_1276	2	3	1	1	9	3	3	3	0	3	0	0	3	8	1	4	2	2
