OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_2081	-4.265	6.417	0.000779825339232183	0.0415074567226358	Depleted	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Leptospira	Unassigned	0	0.006	0	0	0	0	0	0	0.005	0.005	0.008	0.019	0	0
ASV_1008	2.293	7.557	0.000788815217077837	0.0415074567226358	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Paraherbaspirillum	Paraherbaspirillum_soli	0.021	0.005	0.027	0.006	0.013	0.04	0.028	0.014	0.003	0	0.006	0.003	0.011	0.005
ASV_2907	-2.09	7.082	0.000822365320718109	0.0424243756629283	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea	0.003	0.014	0	0	0.003	0.003	0.005	0.005	0.022	0.013	0.011	0.008	0.014	0.014
ASV_1508	3.046	7.175	0.000861889921567658	0.0436083150700867	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Unassigned	0.017	0.002	0.064	0.017	0.003	0.003	0.01	0.008	0.003	0	0.006	0	0	0.003
ASV_823	-2.376	7.213	0.000974559014475851	0.0483785805110559	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Unassigned	Unassigned	0.003	0.016	0.012	0	0	0.005	0	0	0.011	0.026	0.019	0.019	0.008	0.014
ASV_2201	1.74	9.186	0.00102627679162563	0.0491731104297775	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Unassigned	0.079	0.025	0.067	0.056	0.088	0.019	0.049	0.197	0.014	0.021	0.039	0.019	0.024	0.035
ASV_1139	1.95	7.431	0.0010450981017862	0.0491731104297775	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_daechungensis	0.019	0.005	0.012	0.025	0.016	0.016	0.018	0.025	0.003	0.003	0.003	0.006	0	0.016
ASV_662	5.354	8.257	0.00104663404943654	0.0491731104297775	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Unassigned	0.049	0.001	0	0.003	0	0.135	0	0.153	0.005	0	0	0	0	0
ASV_329	-1.506	8.688	0.00111207549803004	0.0513310637774921	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Ohtaekwangia_koreensis	0.018	0.055	0.043	0.014	0.013	0.011	0.021	0.008	0.035	0.058	0.072	0.058	0.049	0.057
ASV_443	-4.11	8.497	0.00114041369895474	0.0517315248612054	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unassigned	0.003	0.054	0.003	0.011	0.003	0.003	0	0	0.019	0.246	0.006	0.052	0	0
